Base date, Major countries and continents, country name, Purpose classification, personnel, Same period last year, increase/decrease rate
201705, America, USA, tourism,58444,63675,-8.2
201705, America, USA, commercial,459,518,-11.4
201705, America, USA, Public,2229,2210,0.9
201705, America, USA, Study Abroad,263,222,18.5
201705, America, USA, etc,14952,13864,7.8
201705, America, USA, entire,76347,80489,-5.1
201705, America, Canada, tourism,12377,12124,2.1
201705, America, Canada, commercial,70,60,16.7
201705, America, Canada, Public,16,12,33.3
201705, America, Canada, Study Abroad,58,44,31.8
201705, America, Canada, etc,4166,3377,23.4
201705, America, Canada, entire,16687,15617,6.9
201705, America, brazil, tourism,1047,1285,-18.5
201705, America, brazil, commercial,10,9,11.1
201705, America, brazil, Public,12,8,50
201705, America, brazil, Study Abroad,15,27,-44.4
201705, America, brazil, etc,362,638,-43.3
201705, America, brazil, entire,1446,1967,-26.5
201705, America, Mexico, tourism,1004,872,15.1
201705, America, Mexico, commercial,4,9,-55.6
201705, America, Mexico, Public,3,3,0
201705, America, Mexico, Study Abroad,87,65,33.8
201705, America, Mexico, etc,257,390,-34.1
201705, America, Mexico, entire,1355,1339,1.2
201705, America, etc, tourism,2567,2284,12.4
201705, America, etc, commercial,32,37,-13.5
201705, America, etc, Public,19,48,-60.4
201705, America, etc, Study Abroad,43,36,19.4
201705, America, etc, etc,766,1722,-55.5
201705, America, etc, entire,3427,4127,-17
201705, europe, Year and Continent, tourism,56006,56505,-0.9
201705, europe, Year and Continent, commercial,2047,2352,-13
201705, europe, Year and Continent, Public,170,137,24.1
201705, europe, Year and Continent, Study Abroad,1164,1048,11.1
201705, europe, Year and Continent, etc,19867,25107,-20.9
201705, europe, Year and Continent, entire,79254,85149,-6.9
201705, europe, russia, tourism,15439,14191,8.8
201705, europe, russia, commercial,142,155,-8.4
201705, europe, russia, Public,13,19,-31.6
201705, europe, russia, Study Abroad,75,44,70.5
201705, europe, russia, etc,7064,7242,-2.5
201705, europe, russia, entire,22733,21651,5
201705, europe, uk, tourism,8193,8594,-4.7
201705, europe, uk, commercial,289,377,-23.3
201705, europe, uk, Public,8,6,33.3
201705, europe, uk, Study Abroad,33,52,-36.5
201705, europe, uk, etc,1570,2233,-29.7
201705, europe, uk, entire,10093,11262,-10.4
201705, europe, germany, tourism,7336,7659,-4.2
201705, europe, germany, commercial,238,257,-7.4
201705, europe, germany, Public,15,10,50
201705, europe, germany, Study Abroad,239,200,19.5
201705, europe, germany, etc,1352,1452,-6.9
201705, europe, germany, entire,9180,9578,-4.2
201705, europe, france, tourism,6321,6566,-3.7
201705, europe, france, commercial,437,462,-5.4
201705, europe, france, Public,37,43,-14
201705, europe, france, Study Abroad,389,354,9.9
201705, europe, france, etc,1409,1288,9.4
201705, europe, france, entire,8593,8713,-1.4
201705, europe, Italy, tourism,2554,3152,-19
201705, europe, Italy, commercial,77,62,24.2
201705, europe, Italy, Public,10,2,400
201705, europe, Italy, Study Abroad,44,21,109.5
201705, europe, Italy, etc,1627,3543,-54.1
201705, europe, Italy, entire,4312,6780,-36.4
201705, europe, Netherlands, tourism,2106,2053,2.6
201705, europe, Netherlands, commercial,46,62,-25.8
201705, europe, Netherlands, Public,9,3,200
201705, europe, Netherlands, Study Abroad,63,47,34
201705, europe, Netherlands, etc,610,635,-3.9
201705, europe, Netherlands, entire,2834,2800,1.2
201705, europe, Ukraine, tourism,636,595,6.9
201705, europe, Ukraine, commercial,118,111,6.3
201705, europe, Ukraine, Public,1,0,0
201705, europe, Ukraine, Study Abroad,5,1,400
201705, europe, Ukraine, etc,1350,2071,-34.8
201705, europe, Ukraine, entire,2110,2778,-24
201705, europe, Spain, tourism,1497,1601,-6.5
201705, europe, Spain, commercial,25,25,0
201705, europe, Spain, Public,18,19,-5.3
201705, europe, Spain, Study Abroad,60,58,3.4
201705, europe, Spain, etc,323,359,-10
201705, europe, Spain, entire,1923,2062,-6.7
201705, europe, Romania, tourism,375,589,-36.3
201705, europe, Romania, commercial,26,23,13
201705, europe, Romania, Public,1,0,0
201705, europe, Romania, Study Abroad,7,3,133.3
201705, europe, Romania, etc,571,1101,-48.1
201705, europe, Romania, entire,980,1716,-42.9
201705, europe, Norway, tourism,770,907,-15.1
201705, europe, Norway, commercial,307,393,-21.9
201705, europe, Norway, Public,2,2,0
201705, europe, Norway, Study Abroad,23,16,43.8
201705, europe, Norway, etc,146,157,-7
201705, europe, Norway, entire,1248,1475,-15.4
201705, europe, Sweden, tourism,1251,1309,-4.4
201705, europe, Sweden, commercial,43,66,-34.8
201705, europe, Sweden, Public,9,11,-18.2
201705, europe, Sweden, Study Abroad,41,32,28.1
201705, europe, Sweden, etc,122,147,-17
201705, europe, Sweden, entire,1466,1565,-6.3
201705, europe, Poland, tourism,1143,908,25.9
201705, europe, Poland, commercial,34,61,-44.3
201705, europe, Poland, Public,3,0,0
201705, europe, Poland, Study Abroad,13,19,-31.6
201705, europe, Poland, etc,452,362,24.9
201705, europe, Poland, entire,1645,1350,21.9
201705, europe, Swiss, tourism,1163,1120,3.8
201705, europe, Swiss, commercial,28,24,16.7
201705, europe, Swiss, Public,1,1,0
201705, europe, Swiss, Study Abroad,29,37,-21.6
201705, europe, Swiss, etc,93,79,17.7
201705, europe, Swiss, entire,1314,1261,4.2
201705, europe, Portugal, tourism,633,659,-3.9
201705, europe, Portugal, commercial,11,7,57.1
201705, europe, Portugal, Public,1,0,0
201705, europe, Portugal, Study Abroad,6,3,100
201705, europe, Portugal, etc,145,234,-38
201705, europe, Portugal, entire,796,903,-11.8
201705, europe,Austria, tourism,674,638,5.6
201705, europe,Austria, commercial,13,13,0
201705, europe,Austria, Public,2,3,-33.3
201705, europe,Austria, Study Abroad,21,20,5
201705, europe,Austria, etc,176,203,-13.3
201705, europe,Austria, entire,886,877,1
201705, europe, Finland, tourism,806,848,-5
201705, europe, Finland, commercial,33,23,43.5
201705, europe, Finland, Public,1,1,0
201705, europe, Finland, Study Abroad,44,45,-2.2
201705, europe, Finland, etc,383,358,7
201705, europe, Finland, entire,1267,1275,-0.6
201705, europe, Belgium, tourism,787,832,-5.4
201705, europe, Belgium, commercial,20,20,0
201705, europe, Belgium, Public,3,3,0
201705, europe, Belgium, Study Abroad,7,21,-66.7
201705, europe, Belgium, etc,180,169,6.5
201705, europe, Belgium, entire,997,1045,-4.6
201705, europe, Croatia, tourism,243,238,2.1
201705, europe, Croatia, commercial,17,19,-10.5
201705, europe, Croatia, Public,0,0,0
201705, europe, Croatia, Study Abroad,2,0,0
201705, europe, Croatia, etc,268,458,-41.5
201705, europe, Croatia, entire,530,715,-25.9
201705, europe, Greece, tourism,436,528,-17.4
201705, europe, Greece, commercial,31,41,-24.4
201705, europe, Greece, Public,2,0,0
201705, europe, Greece, Study Abroad,1,2,-50
201705, europe, Greece, etc,223,539,-58.6
201705, europe, Greece, entire,693,1110,-37.6
201705, europe, Bulgaria, tourism,242,350,-30.9
201705, europe, Bulgaria, commercial,2,2,0
201705, europe, Bulgaria, Public,0,1,-100
201705, europe, Bulgaria, Study Abroad,3,4,-25
201705, europe, Bulgaria, etc,361,708,-49
201705, europe, Bulgaria, entire,608,1065,-42.9
201705, europe, Denmark, tourism,702,852,-17.6
201705, europe, Denmark, commercial,33,57,-42.1
201705, europe, Denmark, Public,7,2,250
201705, europe, Denmark, Study Abroad,8,8,0
201705, europe, Denmark, etc,162,162,0
201705, europe, Denmark, entire,912,1081,-15.6
201705, europe, Ireland, tourism,456,483,-5.6
201705, europe, Ireland, commercial,18,22,-18.2
201705, europe, Ireland, Public,2,0,0
201705, europe, Ireland, Study Abroad,5,0,0
201705, europe, Ireland, etc,142,123,15.4
201705, europe, Ireland, entire,623,628,-0.8
201705, europe, etc, tourism,2243,1833,22.4
201705, europe, etc, commercial,59,70,-15.7
201705, europe, etc, Public,25,11,127.3
201705, europe, etc, Study Abroad,46,61,-24.6
201705, europe, etc, etc,1138,1484,-23.3
201705, europe, etc, entire,3511,3459,1.5
201705, Oceania, Year and Continent, tourism,12397,13532,-8.4
201705, Oceania, Year and Continent, commercial,489,505,-3.2
201705, Oceania, Year and Continent, Public,37,49,-24.5
201705, Oceania, Year and Continent, Study Abroad,33,16,106.2
201705, Oceania, Year and Continent, etc,2009,2142,-6.2
201705, Oceania, Year and Continent, entire,14965,16244,-7.9
201705, Oceania, australia, tourism,9696,11084,-12.5
201705, Oceania, australia, commercial,454,441,2.9
201705, Oceania, australia, Public,22,40,-45
201705, Oceania, australia, Study Abroad,29,13,123.1
201705, Oceania, australia, etc,1317,1317,0
201705, Oceania, australia, entire,11518,12895,-10.7
201705, Oceania, New Zealand, tourism,2215,2069,7.1
201705, Oceania, New Zealand, commercial,30,57,-47.4
201705, Oceania, New Zealand, Public,10,0,0
201705, Oceania, New Zealand, Study Abroad,4,2,100
201705, Oceania, New Zealand, etc,574,614,-6.5
201705, Oceania, New Zealand, entire,2833,2742,3.3
201705, Oceania, etc, tourism,486,379,28.2
201705, Oceania, etc, commercial,5,7,-28.6
201705, Oceania, etc, Public,5,9,-44.4
201705, Oceania, etc, Study Abroad,0,1,-100
201705, Oceania, etc, etc,118,211,-44.1
201705, Oceania, etc, entire,614,607,1.2
201705, Africa, Year and Continent, tourism,2294,3484,-34.2
201705, Africa, Year and Continent, commercial,571,572,-0.2
201705, Africa, Year and Continent, Public,89,74,20.3
201705, Africa, Year and Continent, Study Abroad,95,124,-23.4
201705, Africa, Year and Continent, etc,901,2084,-56.8
201705, Africa, Year and Continent, entire,3950,6338,-37.7
201705, Africa, Republic of South Africa, tourism,453,542,-16.4
201705, Africa, Republic of South Africa, commercial,12,22,-45.5
201705, Africa, Republic of South Africa, Public,0,1,-100
201705, Africa, Republic of South Africa, Study Abroad,0,0,0
201705, Africa, Republic of South Africa, etc,343,569,-39.7
201705, Africa, Republic of South Africa, entire,808,1134,-28.7
201705, Africa, etc, tourism,1841,2942,-37.4
201705, Africa, etc, commercial,559,550,1.6
201705, Africa, etc, Public,89,73,21.9
201705, Africa, etc, Study Abroad,95,124,-23.4
201705, Africa, etc, etc,558,1515,-63.2
201705, Africa, etc, entire,3142,5204,-39.6
201705, etc, Year and Continent, tourism,44,29,51.7
201705, etc, Year and Continent, commercial,1,2,-50
201705, etc, Year and Continent, Public,0,0,0
201705, etc, Year and Continent, Study Abroad,0,1,-100
201705, etc, Year and Continent, etc,20,15,33.3
201705, etc, Year and Continent, entire,65,47,38.3
201705, etc, etc, tourism,44,29,51.7
201705, etc, etc, commercial,1,2,-50
201705, etc, etc, Public,0,0,0
201705, etc, etc, Study Abroad,0,1,-100
201705, etc, etc, etc,20,15,33.3
201705, etc, etc, entire,65,47,38.3
201705, Korean, Year and Continent, tourism,0,0,0
201705, Korean, Year and Continent, commercial,0,0,0
201705, Korean, Year and Continent, Public,0,0,0
201705, Korean, Year and Continent, Study Abroad,0,0,0
201705, Korean, Year and Continent, etc,23380,24488,-4.5
201705, Korean, Year and Continent, entire,23380,24488,-4.5
201705, Korean, Korean, tourism,0,0,0
201705, Korean, Korean, commercial,0,0,0
201705, Korean, Korean, Public,0,0,0
201705, Korean, Korean, Study Abroad,0,0,0
201705, Korean, Korean, etc,23380,24488,-4.5
201705, Korean, Korean, entire,23380,24488,-4.5
201706, Entire continent, year, tourism,775181,1277116,-39.3
201706, Entire continent, year, commercial,13259,14938,-11.2
201706, Entire continent, year, Public,4069,4431,-8.2
201706, Entire continent, year, Study Abroad,18636,14653,27.2
201706, Entire continent, year, etc,180657,243275,-25.7
201706, Entire continent, year, entire,991802,1554413,-36.2
201706, Asia, Year and Continent, tourism,618807,1119177,-44.7
201706, Asia, Year and Continent, commercial,10423,11616,-10.3
201706, Asia, Year and Continent, Public,1954,2247,-13
201706, Asia, Year and Continent, Study Abroad,17515,13499,29.8
201706, Asia, Year and Continent, etc,119433,172874,-30.9
201706, Asia, Year and Continent, entire,768132,1319413,-41.8
201706, Asia, china, tourism,181507,671493,-73
201706, Asia, china, commercial,3513,4492,-21.8
201706, Asia, china, Public,155,539,-71.2
201706, Asia, china, Study Abroad,12669,10378,22.1
201706, Asia, china, etc,57086,71632,-20.3
201706, Asia, china, entire,254930,758534,-66.4
201706, Asia, japan, tourism,161395,173883,-7.2
201706, Asia, japan, commercial,1739,1960,-11.3
201706, Asia, japan, Public,106,167,-36.5
201706, Asia, japan, Study Abroad,635,473,34.2
201706, Asia, japan, etc,3910,3709,5.4
201706, Asia, japan, entire,167785,180192,-6.9
201706, Asia, taiwan, tourism,76552,86427,-11.4
201706, Asia, taiwan, commercial,58,58,0
201706, Asia, taiwan, Public,23,6,283.3
201706, Asia, taiwan, Study Abroad,269,210,28.1
201706, Asia, taiwan, etc,1084,1021,6.2
201706, Asia, taiwan, entire,77986,87722,-11.1
201706, Asia, Hong Kong, tourism,57461,61538,-6.6
201706, Asia, Hong Kong, commercial,37,67,-44.8
201706, Asia, Hong Kong, Public,7,1,600
201706, Asia, Hong Kong, Study Abroad,164,138,18.8
201706, Asia, Hong Kong, etc,921,748,23.1
201706, Asia, Hong Kong, entire,58590,62492,-6.2
201706, Asia, Macau, tourism,3631,4292,-15.4
201706, Asia, Macau, commercial,0,0,0
201706, Asia, Macau, Public,0,0,0
201706, Asia, Macau, Study Abroad,20,12,66.7
201706, Asia, Macau, etc,31,21,47.6
201706, Asia, Macau, entire,3682,4325,-14.9
201706, Asia, Philippines, tourism,17971,12935,38.9
201706, Asia, Philippines, commercial,267,247,8.1
201706, Asia, Philippines, Public,107,121,-11.6
201706, Asia, Philippines, Study Abroad,69,64,7.8
201706, Asia, Philippines, etc,16812,36468,-53.9
201706, Asia, Philippines, entire,35226,49835,-29.3
201706, Asia, Indonesia, tourism,13097,11008,19
201706, Asia, Indonesia, commercial,252,273,-7.7
201706, Asia, Indonesia, Public,64,81,-21
201706, Asia, Indonesia, Study Abroad,105,117,-10.3
201706, Asia, Indonesia, etc,5242,14155,-63
201706, Asia, Indonesia, entire,18760,25634,-26.8
201706, Asia, thailand, tourism,22179,24485,-9.4
201706, Asia, thailand, commercial,25,40,-37.5
201706, Asia, thailand, Public,188,198,-5.1
201706, Asia, thailand, Study Abroad,92,72,27.8
201706, Asia, thailand, etc,5376,5641,-4.7
201706, Asia, thailand, entire,27860,30436,-8.5
201706, Asia, vietnam, tourism,23271,18083,28.7
201706, Asia, vietnam, commercial,597,482,23.9
201706, Asia, vietnam, Public,313,267,17.2
201706, Asia, vietnam, Study Abroad,2122,984,115.7
201706, Asia, vietnam, etc,5385,4777,12.7
201706, Asia, vietnam, entire,31688,24593,28.8
201706, Asia, India, tourism,3087,3039,1.6
201706, Asia, India, commercial,2207,2347,-6
201706, Asia, India, Public,125,39,220.5
201706, Asia, India, Study Abroad,110,53,107.5
201706, Asia, India, etc,4001,13117,-69.5
201706, Asia, India, entire,9530,18595,-48.7
201706, Asia, malaysia, tourism,16128,13094,23.2
201706, Asia, malaysia, commercial,81,148,-45.3
201706, Asia, malaysia, Public,4,4,0
201706, Asia, malaysia, Study Abroad,73,76,-3.9
201706, Asia, malaysia, etc,1832,2363,-22.5
201706, Asia, malaysia, entire,18118,15685,15.5
201706, Asia, Singapore, tourism,19783,19970,-0.9
201706, Asia, Singapore, commercial,101,168,-39.9
201706, Asia, Singapore, Public,5,7,-28.6
201706, Asia, Singapore, Study Abroad,75,72,4.2
201706, Asia, Singapore, etc,1518,1610,-5.7
201706, Asia, Singapore, entire,21482,21827,-1.6
201706, Asia, Mongolia, tourism,8454,6639,27.3
201706, Asia, Mongolia, commercial,91,106,-14.2
201706, Asia, Mongolia, Public,233,224,4
201706, Asia, Mongolia, Study Abroad,523,402,30.1
201706, Asia, Mongolia, etc,481,411,17
201706, Asia, Mongolia, entire,9782,7782,25.7
201706, Asia, Uzbekistan, tourism,3171,2739,15.8
201706, Asia, Uzbekistan, commercial,363,306,18.6
201706, Asia, Uzbekistan, Public,0,0,0
201706, Asia, Uzbekistan, Study Abroad,264,105,151.4
201706, Asia, Uzbekistan, etc,2693,2585,4.2
201706, Asia, Uzbekistan, entire,6491,5735,13.2
201706, Asia, Myanmar, tourism,1393,1468,-5.1
201706, Asia, Myanmar, commercial,17,21,-19
201706, Asia, Myanmar, Public,81,112,-27.7
201706, Asia, Myanmar, Study Abroad,27,26,3.8
201706, Asia, Myanmar, etc,4449,4808,-7.5
201706, Asia, Myanmar, entire,5967,6435,-7.3
201706, Asia, GCC, tourism,1398,756,84.9
201706, Asia, GCC, commercial,27,14,92.9
201706, Asia, GCC, Public,21,9,133.3
201706, Asia, GCC, Study Abroad,30,46,-34.8
201706, Asia, GCC, etc,56,71,-21.1
201706, Asia, GCC, entire,1532,896,71
201706, Asia, Kazakhstan, tourism,2641,2165,22
201706, Asia, Kazakhstan, commercial,11,6,83.3
201706, Asia, Kazakhstan, Public,18,0,0
201706, Asia, Kazakhstan, Study Abroad,49,54,-9.3
201706, Asia, Kazakhstan, etc,816,617,32.3
201706, Asia, Kazakhstan, entire,3535,2842,24.4
201706, Asia, Turkye, tourism,1300,1203,8.1
201706, Asia, Turkye, commercial,9,12,-25
201706, Asia, Turkye, Public,101,65,55.4
201706, Asia, Turkye, Study Abroad,20,34,-41.2
201706, Asia, Turkye, etc,835,1063,-21.4
201706, Asia, Turkye, entire,2265,2377,-4.7
201706, Asia, Cambodia, tourism,461,601,-23.3
201706, Asia, Cambodia, commercial,35,51,-31.4
201706, Asia, Cambodia, Public,60,86,-30.2
201706, Asia, Cambodia, Study Abroad,30,35,-14.3
201706, Asia, Cambodia, etc,1750,2186,-19.9
201706, Asia, Cambodia, entire,2336,2959,-21.1
201706, Asia, Sri Lanka, tourism,309,263,17.5
201706, Asia, Sri Lanka, commercial,64,60,6.7
201706, Asia, Sri Lanka, Public,23,5,360
201706, Asia, Sri Lanka, Study Abroad,17,38,-55.3
201706, Asia, Sri Lanka, etc,1527,2047,-25.4
201706, Asia, Sri Lanka, entire,1940,2413,-19.6
201706, Asia, Bangladesh, tourism,213,245,-13.1
201706, Asia, Bangladesh, commercial,112,89,25.8
201706, Asia, Bangladesh, Public,43,48,-10.4
201706, Asia, Bangladesh, Study Abroad,28,21,33.3
201706, Asia, Bangladesh, etc,490,725,-32.4
201706, Asia, Bangladesh, entire,886,1128,-21.5
201706, Asia, Pakistan, tourism,253,264,-4.2
201706, Asia, Pakistan, commercial,212,193,9.8
201706, Asia, Pakistan, Public,32,22,45.5
201706, Asia, Pakistan, Study Abroad,27,26,3.8
201706, Asia, Pakistan, etc,230,338,-32
201706, Asia, Pakistan, entire,754,843,-10.6
201706, Asia, Israel, tourism,769,951,-19.1
201706, Asia, Israel, commercial,6,14,-57.1
201706, Asia, Israel, Public,0,0,0
201706, Asia, Israel, Study Abroad,5,2,150
201706, Asia, Israel, etc,47,42,11.9
201706, Asia, Israel, entire,827,1009,-18
201706, Asia, Iran, tourism,455,235,93.6
201706, Asia, Iran, commercial,224,217,3.2
201706, Asia, Iran, Public,38,12,216.7
201706, Asia, Iran, Study Abroad,21,21,0
201706, Asia, Iran, etc,192,241,-20.3
201706, Asia, Iran, entire,930,726,28.1
201706, Asia, etc, tourism,1928,1401,37.6
201706, Asia, etc, commercial,375,245,53.1
201706, Asia, etc, Public,207,234,-11.5
201706, Asia, etc, Study Abroad,71,40,77.5
201706, Asia, etc, etc,2669,2478,7.7
201706, Asia, etc, entire,5250,4398,19.4
201706, America, Year and Continent, tourism,83931,87179,-3.7
201706, America, Year and Continent, commercial,451,536,-15.9
201706, America, Year and Continent, Public,1818,1818,0
201706, America, Year and Continent, Study Abroad,300,326,-8
201706, America, Year and Continent, etc,19229,19918,-3.5
201706, America, Year and Continent, entire,105729,109777,-3.7
201706, America, USA, tourism,70021,72286,-3.1
201706, America, USA, commercial,381,430,-11.4
201706, America, USA, Public,1752,1774,-1.2
201706, America, USA, Study Abroad,185,189,-2.1
201706, America, USA, etc,13616,13597,0.1
201706, America, USA, entire,85955,88276,-2.6
201706, America, Canada, tourism,9834,10375,-5.2
201706, America, Canada, commercial,35,63,-44.4
201706, America, Canada, Public,22,18,22.2
201706, America, Canada, Study Abroad,36,26,38.5
201706, America, Canada, etc,4454,3468,28.4
201706, America, Canada, entire,14381,13950,3.1
201706, America, brazil, tourism,1036,1339,-22.6
201706, America, brazil, commercial,11,10,10
201706, America, brazil, Public,11,10,10
201706, America, brazil, Study Abroad,9,13,-30.8
201706, America, brazil, etc,340,548,-38
201706, America, brazil, entire,1407,1920,-26.7
201706, America, Mexico, tourism,930,1265,-26.5
201706, America, Mexico, commercial,6,6,0
201706, America, Mexico, Public,6,1,500
201706, America, Mexico, Study Abroad,35,47,-25.5
201706, America, Mexico, etc,231,423,-45.4
201706, America, Mexico, entire,1208,1742,-30.7
201706, America, etc, tourism,2110,1914,10.2
201706, America, etc, commercial,18,27,-33.3
201706, America, etc, Public,27,15,80
201706, America, etc, Study Abroad,35,51,-31.4
201706, America, etc, etc,588,1882,-68.8
201706, America, etc, entire,2778,3889,-28.6
201706, europe, Year and Continent, tourism,55550,54436,2
201706, europe, Year and Continent, commercial,1579,1938,-18.5
201706, europe, Year and Continent, Public,205,177,15.8
201706, europe, Year and Continent, Study Abroad,647,684,-5.4
201706, europe, Year and Continent, etc,16776,22827,-26.5
201706, europe, Year and Continent, entire,74757,80062,-6.6
201706, europe, russia, tourism,17362,13756,26.2
201706, europe, russia, commercial,120,132,-9.1
201706, europe, russia, Public,58,28,107.1
201706, europe, russia, Study Abroad,59,72,-18.1
201706, europe, russia, etc,5871,5923,-0.9
201706, europe, russia, entire,23470,19911,17.9
201706, europe, uk, tourism,7689,8565,-10.2
201706, europe, uk, commercial,196,372,-47.3
201706, europe, uk, Public,8,12,-33.3
201706, europe, uk, Study Abroad,36,20,80
201706, europe, uk, etc,1304,2329,-44
201706, europe, uk, entire,9233,11298,-18.3
201706, europe, germany, tourism,6258,6889,-9.2
201706, europe, germany, commercial,238,250,-4.8
201706, europe, germany, Public,30,28,7.1
201706, europe, germany, Study Abroad,108,119,-9.2
201706, europe, germany, etc,1310,1350,-3
201706, europe, germany, entire,7944,8636,-8
201706, europe, france, tourism,5686,5853,-2.9
201706, europe, france, commercial,324,378,-14.3
201706, europe, france, Public,30,24,25
201706, europe, france, Study Abroad,203,224,-9.4
201706, europe, france, etc,974,840,16
201706, europe, france, entire,7217,7319,-1.4
201706, europe, Italy, tourism,2240,2657,-15.7
201706, europe, Italy, commercial,52,80,-35
201706, europe, Italy, Public,17,12,41.7
201706, europe, Italy, Study Abroad,24,14,71.4
201706, europe, Italy, etc,1100,3078,-64.3
201706, europe, Italy, entire,3433,5841,-41.2
201706, europe, Netherlands, tourism,1851,1846,0.3
201706, europe, Netherlands, commercial,40,39,2.6
201706, europe, Netherlands, Public,13,5,160
201706, europe, Netherlands, Study Abroad,29,34,-14.7
201706, europe, Netherlands, etc,629,628,0.2
201706, europe, Netherlands, entire,2562,2552,0.4
201706, europe, Ukraine, tourism,732,685,6.9
201706, europe, Ukraine, commercial,132,82,61
201706, europe, Ukraine, Public,2,5,-60
201706, europe, Ukraine, Study Abroad,3,10,-70
201706, europe, Ukraine, etc,1360,2168,-37.3
201706, europe, Ukraine, entire,2229,2950,-24.4
201706, europe, Spain, tourism,1525,1579,-3.4
201706, europe, Spain, commercial,13,34,-61.8
201706, europe, Spain, Public,8,5,60
201706, europe, Spain, Study Abroad,33,23,43.5
201706, europe, Spain, etc,218,338,-35.5
201706, europe, Spain, entire,1797,1979,-9.2
201706, europe, Romania, tourism,355,447,-20.6
201706, europe, Romania, commercial,23,21,9.5
201706, europe, Romania, Public,0,2,-100
201706, europe, Romania, Study Abroad,3,3,0
201706, europe, Romania, etc,448,1157,-61.3
201706, europe, Romania, entire,829,1630,-49.1
201706, europe, Norway, tourism,1188,1300,-8.6
201706, europe, Norway, commercial,201,256,-21.5
201706, europe, Norway, Public,2,1,100
201706, europe, Norway, Study Abroad,7,10,-30
201706, europe, Norway, etc,113,108,4.6
201706, europe, Norway, entire,1511,1675,-9.8
201706, europe, Sweden, tourism,1586,1704,-6.9
201706, europe, Sweden, commercial,34,34,0
201706, europe, Sweden, Public,6,9,-33.3
201706, europe, Sweden, Study Abroad,19,17,11.8
201706, europe, Sweden, etc,92,141,-34.8
201706, europe, Sweden, entire,1737,1905,-8.8
201706, europe, Poland, tourism,1031,871,18.4
201706, europe, Poland, commercial,18,26,-30.8
201706, europe, Poland, Public,0,1,-100
201706, europe, Poland, Study Abroad,14,25,-44
201706, europe, Poland, etc,535,398,34.4
201706, europe, Poland, entire,1598,1321,21
201706, europe, Swiss, tourism,959,1001,-4.2
201706, europe, Swiss, commercial,23,24,-4.2
201706, europe, Swiss, Public,2,3,-33.3
201706, europe, Swiss, Study Abroad,8,12,-33.3
201706, europe, Swiss, etc,73,115,-36.5
201706, europe, Swiss, entire,1065,1155,-7.8
201706, europe, Portugal, tourism,643,812,-20.8
201706, europe, Portugal, commercial,8,9,-11.1
201706, europe, Portugal, Public,0,0,0
201706, europe, Portugal, Study Abroad,4,1,300
201706, europe, Portugal, etc,112,261,-57.1
201706, europe, Portugal, entire,767,1083,-29.2
201706, europe,Austria, tourism,639,727,-12.1
201706, europe,Austria, commercial,8,7,14.3
201706, europe,Austria, Public,4,3,33.3
201706, europe,Austria, Study Abroad,12,9,33.3
201706, europe,Austria, etc,132,191,-30.9
201706, europe,Austria, entire,795,937,-15.2
201706, europe, Finland, tourism,668,852,-21.6
201706, europe, Finland, commercial,23,27,-14.8
201706, europe, Finland, Public,0,0,0
201706, europe, Finland, Study Abroad,29,22,31.8
201706, europe, Finland, etc,355,312,13.8
201706, europe, Finland, entire,1075,1213,-11.4
201706, europe, Belgium, tourism,900,747,20.5
201706, europe, Belgium, commercial,13,16,-18.8
201706, europe, Belgium, Public,4,2,100
201706, europe, Belgium, Study Abroad,6,10,-40
201706, europe, Belgium, etc,174,124,40.3
201706, europe, Belgium, entire,1097,899,22
201706, europe, Croatia, tourism,262,187,40.1
201706, europe, Croatia, commercial,3,9,-66.7
201706, europe, Croatia, Public,0,0,0
201706, europe, Croatia, Study Abroad,4,0,0
201706, europe, Croatia, etc,202,565,-64.2
201706, europe, Croatia, entire,471,761,-38.1
201706, europe, Greece, tourism,425,495,-14.1
201706, europe, Greece, commercial,23,31,-25.8
201706, europe, Greece, Public,0,0,0
201706, europe, Greece, Study Abroad,2,1,100
201706, europe, Greece, etc,263,439,-40.1
201706, europe, Greece, entire,713,966,-26.2
201706, europe, Bulgaria, tourism,176,232,-24.1
201706, europe, Bulgaria, commercial,1,1,0
201706, europe, Bulgaria, Public,0,0,0
201706, europe, Bulgaria, Study Abroad,2,3,-33.3
201706, europe, Bulgaria, etc,269,629,-57.2
201706, europe, Bulgaria, entire,448,865,-48.2
201706, europe, Denmark, tourism,767,738,3.9
201706, europe, Denmark, commercial,22,38,-42.1
201706, europe, Denmark, Public,2,1,100
201706, europe, Denmark, Study Abroad,8,10,-20
201706, europe, Denmark, etc,161,124,29.8
201706, europe, Denmark, entire,960,911,5.4
201706, europe, Ireland, tourism,495,540,-8.3
201706, europe, Ireland, commercial,20,22,-9.1
201706, europe, Ireland, Public,0,0,0
201706, europe, Ireland, Study Abroad,2,1,100
201706, europe, Ireland, etc,107,125,-14.4
201706, europe, Ireland, entire,624,688,-9.3
201706, europe, etc, tourism,2113,1953,8.2
201706, europe, etc, commercial,44,50,-12
201706, europe, etc, Public,19,36,-47.2
201706, europe, etc, Study Abroad,32,44,-27.3
201706, europe, etc, etc,974,1484,-34.4
201706, europe, etc, entire,3182,3567,-10.8
201706, Oceania, Year and Continent, tourism,14942,14049,6.4
201706, Oceania, Year and Continent, commercial,393,424,-7.3
201706, Oceania, Year and Continent, Public,36,74,-51.4
201706, Oceania, Year and Continent, Study Abroad,34,24,41.7
